Interval Start,Interval End,Load
2026-05-08 14:55:00-05:00,2026-05-08 15:00:00-05:00,35616
2026-05-08 15:00:00-05:00,2026-05-08 15:05:00-05:00,35661
2026-05-08 15:05:00-05:00,2026-05-08 15:10:00-05:00,35700
2026-05-08 15:10:00-05:00,2026-05-08 15:15:00-05:00,35712
2026-05-08 15:15:00-05:00,2026-05-08 15:20:00-05:00,35778
2026-05-08 15:20:00-05:00,2026-05-08 15:25:00-05:00,35918
2026-05-08 15:25:00-05:00,2026-05-08 15:30:00-05:00,35955
2026-05-08 15:30:00-05:00,2026-05-08 15:35:00-05:00,36109
2026-05-08 15:35:00-05:00,2026-05-08 15:40:00-05:00,36066
2026-05-08 15:40:00-05:00,2026-05-08 15:45:00-05:00,36164
2026-05-08 15:45:00-05:00,2026-05-08 15:50:00-05:00,36182
2026-05-08 15:50:00-05:00,2026-05-08 15:55:00-05:00,36188
2026-05-08 15:55:00-05:00,2026-05-08 16:00:00-05:00,36207
2026-05-08 16:00:00-05:00,2026-05-08 16:05:00-05:00,36304
2026-05-08 16:05:00-05:00,2026-05-08 16:10:00-05:00,36330
2026-05-08 16:10:00-05:00,2026-05-08 16:15:00-05:00,36406
2026-05-08 16:15:00-05:00,2026-05-08 16:20:00-05:00,36546
2026-05-08 16:20:00-05:00,2026-05-08 16:25:00-05:00,36661
2026-05-08 16:25:00-05:00,2026-05-08 16:30:00-05:00,36635
2026-05-08 16:30:00-05:00,2026-05-08 16:35:00-05:00,36566
2026-05-08 16:35:00-05:00,2026-05-08 16:40:00-05:00,36532
2026-05-08 16:40:00-05:00,2026-05-08 16:45:00-05:00,36513
2026-05-08 16:45:00-05:00,2026-05-08 16:50:00-05:00,36588
2026-05-08 16:50:00-05:00,2026-05-08 16:55:00-05:00,36731
2026-05-08 16:55:00-05:00,2026-05-08 17:00:00-05:00,36733
2026-05-08 17:00:00-05:00,2026-05-08 17:05:00-05:00,36800
2026-05-08 17:05:00-05:00,2026-05-08 17:10:00-05:00,36806
2026-05-08 17:10:00-05:00,2026-05-08 17:15:00-05:00,36791
2026-05-08 17:15:00-05:00,2026-05-08 17:20:00-05:00,36768
2026-05-08 17:20:00-05:00,2026-05-08 17:25:00-05:00,36757
2026-05-08 17:25:00-05:00,2026-05-08 17:30:00-05:00,36668
2026-05-08 17:30:00-05:00,2026-05-08 17:35:00-05:00,36641
2026-05-08 17:35:00-05:00,2026-05-08 17:40:00-05:00,36605
2026-05-08 17:40:00-05:00,2026-05-08 17:45:00-05:00,36713
2026-05-08 17:45:00-05:00,2026-05-08 17:50:00-05:00,36745
2026-05-08 17:50:00-05:00,2026-05-08 17:55:00-05:00,36662
2026-05-08 17:55:00-05:00,2026-05-08 18:00:00-05:00,36568
2026-05-08 18:00:00-05:00,2026-05-08 18:05:00-05:00,36419
2026-05-08 18:05:00-05:00,2026-05-08 18:10:00-05:00,36251
2026-05-08 18:10:00-05:00,2026-05-08 18:15:00-05:00,36208
2026-05-08 18:15:00-05:00,2026-05-08 18:20:00-05:00,36161
2026-05-08 18:20:00-05:00,2026-05-08 18:25:00-05:00,36108
2026-05-08 18:25:00-05:00,2026-05-08 18:30:00-05:00,36111
2026-05-08 18:30:00-05:00,2026-05-08 18:35:00-05:00,36055
2026-05-08 18:35:00-05:00,2026-05-08 18:40:00-05:00,35962
2026-05-08 18:40:00-05:00,2026-05-08 18:45:00-05:00,35902
2026-05-08 18:45:00-05:00,2026-05-08 18:50:00-05:00,35857
2026-05-08 18:50:00-05:00,2026-05-08 18:55:00-05:00,35764
2026-05-08 18:55:00-05:00,2026-05-08 19:00:00-05:00,35720
2026-05-08 19:00:00-05:00,2026-05-08 19:05:00-05:00,35627
2026-05-08 19:05:00-05:00,2026-05-08 19:10:00-05:00,35709
2026-05-08 19:10:00-05:00,2026-05-08 19:15:00-05:00,35660
2026-05-08 19:15:00-05:00,2026-05-08 19:20:00-05:00,35470
2026-05-08 19:20:00-05:00,2026-05-08 19:25:00-05:00,35390
2026-05-08 19:25:00-05:00,2026-05-08 19:30:00-05:00,35330
2026-05-08 19:30:00-05:00,2026-05-08 19:35:00-05:00,35314
2026-05-08 19:35:00-05:00,2026-05-08 19:40:00-05:00,35277
2026-05-08 19:40:00-05:00,2026-05-08 19:45:00-05:00,35212
2026-05-08 19:45:00-05:00,2026-05-08 19:50:00-05:00,35142
2026-05-08 19:50:00-05:00,2026-05-08 19:55:00-05:00,35103
2026-05-08 19:55:00-05:00,2026-05-08 20:00:00-05:00,35033
2026-05-08 20:00:00-05:00,2026-05-08 20:05:00-05:00,35026
2026-05-08 20:05:00-05:00,2026-05-08 20:10:00-05:00,34954
2026-05-08 20:10:00-05:00,2026-05-08 20:15:00-05:00,34941
2026-05-08 20:15:00-05:00,2026-05-08 20:20:00-05:00,34903
2026-05-08 20:20:00-05:00,2026-05-08 20:25:00-05:00,34799
2026-05-08 20:25:00-05:00,2026-05-08 20:30:00-05:00,34758
2026-05-08 20:30:00-05:00,2026-05-08 20:35:00-05:00,34769
2026-05-08 20:35:00-05:00,2026-05-08 20:40:00-05:00,34763
2026-05-08 20:40:00-05:00,2026-05-08 20:45:00-05:00,34744
2026-05-08 20:45:00-05:00,2026-05-08 20:50:00-05:00,34757
2026-05-08 20:50:00-05:00,2026-05-08 20:55:00-05:00,34721
2026-05-08 20:55:00-05:00,2026-05-08 21:00:00-05:00,34667
2026-05-08 21:00:00-05:00,2026-05-08 21:05:00-05:00,34655
2026-05-08 21:05:00-05:00,2026-05-08 21:10:00-05:00,34537
2026-05-08 21:10:00-05:00,2026-05-08 21:15:00-05:00,34501
2026-05-08 21:15:00-05:00,2026-05-08 21:20:00-05:00,34448
2026-05-08 21:20:00-05:00,2026-05-08 21:25:00-05:00,34374
2026-05-08 21:25:00-05:00,2026-05-08 21:30:00-05:00,34322
2026-05-08 21:30:00-05:00,2026-05-08 21:35:00-05:00,34247
2026-05-08 21:35:00-05:00,2026-05-08 21:40:00-05:00,34190
2026-05-08 21:40:00-05:00,2026-05-08 21:45:00-05:00,34066
2026-05-08 21:45:00-05:00,2026-05-08 21:50:00-05:00,33929
2026-05-08 21:50:00-05:00,2026-05-08 21:55:00-05:00,33816
2026-05-08 21:55:00-05:00,2026-05-08 22:00:00-05:00,33640
2026-05-08 22:00:00-05:00,2026-05-08 22:05:00-05:00,33599
2026-05-08 22:05:00-05:00,2026-05-08 22:10:00-05:00,33523
2026-05-08 22:10:00-05:00,2026-05-08 22:15:00-05:00,33368
2026-05-08 22:15:00-05:00,2026-05-08 22:20:00-05:00,33210
2026-05-08 22:20:00-05:00,2026-05-08 22:25:00-05:00,33046
2026-05-08 22:25:00-05:00,2026-05-08 22:30:00-05:00,32957
2026-05-08 22:30:00-05:00,2026-05-08 22:35:00-05:00,32820
2026-05-08 22:35:00-05:00,2026-05-08 22:40:00-05:00,32744
2026-05-08 22:40:00-05:00,2026-05-08 22:45:00-05:00,32614
2026-05-08 22:45:00-05:00,2026-05-08 22:50:00-05:00,32443
2026-05-08 22:50:00-05:00,2026-05-08 22:55:00-05:00,32254
2026-05-08 22:55:00-05:00,2026-05-08 23:00:00-05:00,32129
2026-05-08 23:00:00-05:00,2026-05-08 23:05:00-05:00,31952
2026-05-08 23:05:00-05:00,2026-05-08 23:10:00-05:00,31787
2026-05-08 23:10:00-05:00,2026-05-08 23:15:00-05:00,31615
2026-05-08 23:15:00-05:00,2026-05-08 23:20:00-05:00,31447
